COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
ASIALANG,139,First Semester Urdu,Beginning Urdu: A Complete Course,'1589017781'
LITTRANS,260,Italy & Invention of America,The Moon and the Bonfires,'1590170210'
COMP LIT,350,Problms in Comp Lit & Cultures,Season of Migration to the North,'1590173023'
ENGL,175,Lit & the Other Disciplines,on lynchings,'1591020085'
KINES,123,Living well: Lifestyle balance,Wellbeing: The Five Essential Elements,'1595620400'
ASIAN AM,152,AsianAm Lit & Pop Culture,American Born Chinese,'1596431520'
HEBR-BIB,103,"Elementary Biblical Hebrew, I",A Basic Introduction to Biblical Hebrew (English and Hebrew Edition),'159856028X'
LAW,852,Trial Advocacy,Modern Trial Advocacy Analysis and Practice,'1601564740'
LAW,852,Trial Advocacy,Modern Trial Advocacy Analysis and Practice (Law School Edition),'1601565739'
AFROAMER,303,"Blacks, Film, and Society",March: Book Two,'1603094008'
BOTANY,651,Conservation Biology,An Introduction to Conservation Biology,'1605358975'
ENGL,400,Advanced Composition,Rewriting: How to Do Things with Texts,'1607326868'
NURSING,726,Foundations APN Clin Pract I,Kaplan & Sadock's Synopsis of Psychiatry,'1609139712'
PUBLHLTH,783,Quantitative Approaches to PH,The Little SAS Handbook: A Primer,'1612903436'
KINES,508,Workshop in Kinesiology,Principles of Pharmacology 3rd Ed.,'1617119296'
CSCS,125,Community and Social Change,"When We Fight, We Win! Twenty-First-Century Social Movements and the Activists That Are Transforming",'1620970937'
ED PSYCH,741,"Socl, Emotionl&Behav Assessmnt",Pushout: The Criminalization of Black Girls in Schools,'1620973421'
GREEK,103,Elementary Ancient Greek,A Student Handbook of Greek and English Grammar,'1624660363'
SPANISH,226,Interm Lang Prac-Writng&Grammr,Gramatica para la composicion,'1626162557'
ART,575,User Experience for Design,rA designer's Research manual,'1631592629'
LAW,711,Contracts I,Contract Law: Selected Source Materials Annotated,'1642429309'
SCAND ST,427,Contemporary Scand Lit,A Storm Blew in from Paradise,'1642860441'
KINES,123,Living well: Lifestyle balance,TIME The Science of Happiness: New Discoveries for a More Joyful Life,'1683304306'
RP & SE,840,Clin Rehab Cnslg-Group Cnslg,The Relaxation and Stress Reduction Workbook,'1684033349'
ART,448,Special Topics,Radical Happiness: Moments of Collective Joy,'1786631547'
ENGL,457,Topic in American Lit,Thelma & Louise (BFI Film Classics),'1838719288'
AFRICAN,406,Topics in African Literature,The Shadow King,'1838851178'
SOC WORK,400,Field Pract/Integrat Smr I,HOW TO BE AN ANTIRACIST,'1847925995'
CS&D,202,Normal Aspects of Hearing,The Sense of Hearing,'1848725159'
ENGL,245,Seminar in the Major,The SCUM Manifesto,'1849351805'
ASIAN,630,Proseminar: Cultures of Asia,Photography and Anthropology,'1861898045'
AFRICAN,371,First Semester Yoruba,Yoruba Newspaper Reader,'1881265536'
KINES,325,Group Develop & Behav Manage,Power of One: Using Adventure and Experiential Activities Within One on One Counseling Sessions,'188547380X'
ASTRON,320,The Interstellar Medium,Physics And Chemistry of the Interstellar Medium,'1891389467'
CURRIC,663,Lrng Envr-Initial Ed Progm,"Yardsticks: Children in the classroom, ages 4-14",'1892989212'
MATH,770,Foundations of Mathematics,The Foundations of Mathematics,'1904987141'
HDFS,663,Developmental & Fam Assessment,Focused Portfolios,'1929610076'
SCAND ST,427,Contemporary Scand Lit,The Trail We Leave,'1931896097'
SCAND ST,427,Contemporary Scand Lit,White Blight,'1938247213'
KINES,325,Group Develop & Behav Manage,Journey toward the caring classroom: Using adventure to create community,'1939019109'
ART,575,User Experience for Design,Design is storytelling.,'194230319X'
LAW,753,Intro-Intellectual Proprty Law,Intellectual Property in the New Technological Age: 2020 (Volume I),'1945555157'
LAW,753,Intro-Intellectual Proprty Law,Intellectual Property in the New Technological Age: 2020 (Volume II),'1945555165'
A A E,723,Professional Development Sem,What Color Is Your Parachute? 2020: A Practical Manual for Job-Hunters and Career-Changers,'1984856561'
FRENCH,271,Intro to Literary Analysis,L'Ecole des femmes,'2035834171'
FRENCH,631,Lit Francaise-XVIIIe Siecle,Le Malade imaginaire,'2035834201'
FRENCH,631,Lit Francaise-XVIIIe Siecle,L'Etat de siege,'2070400360'
FRENCH,271,Intro to Literary Analysis,L'evenement,'2070419231'
FRENCH,639,Litterature-XVIIe Siecle,Theatre 1,'2080712810'
FRENCH,631,Lit Francaise-XVIIIe Siecle,La Religieuse,'2081208210'
FRENCH,631,Lit Francaise-XVIIIe Siecle,"Zaire, suivi de 'Le Fanatisme ou Mahomet le prophete'",'2081470187'
FRENCH,204,Fourth Semester French,Monsieur Ibrahim et les Fleurs du Coran,'2210754674'
FRENCH,271,Intro to Literary Analysis,Attentat,'2253146889'
FRENCH,947,Smr: Questions-Litterature,Les particules elementaires,'2290303054'
FRENCH,947,Smr: Questions-Litterature,Le Sermon de la chute de Rome,'2330012594'
FRENCH,947,Smr: Questions-Litterature,Le Principe,'2330065566'
FRENCH,321,"Medievl, Renais&Early Mod Lit",Erec et Enide,'2410012957'
FRENCH,271,Intro to Literary Analysis,Prodige,'2742722688'
GERMAN,755,Old Germanic Languages,"Althochdeutsches Worterbuch: 7., Durchgesehene Und Verbesserte Auflage",'311026871X'
GERMAN,755,Old Germanic Languages,Althochdeutsches Lesebuch,'3484107073'
ASIALANG,114,2nd Sem Elementary Japanese,Genki: An Integrated Course in Elementary Japanese I,'4789014401'
ASIALANG,114,2nd Sem Elementary Japanese,Genki: An Integrated Course in Elementary Japanese Workbook I,'478901441X'
SLAVIC,433,History of Russian Culture,Istoriia Rossii v sobytiiakh i sudbakh,'5883371981'
OTM,632,Intro-Stochastic Processes,Essentials of Stochastic Processes 3rd edition,'6783319456140'
ASIALANG,378,Chinese Conversation,Communicate in Chinese 4,'7110056309'
SPANISH,460,Literatura Hispanoamericana,Material humano,'8420427470'
SPANISH,460,Literatura Hispanoamericana,Bonsai y La vida privada de los arboles,'8433977962'
SPANISH,460,Literatura Hispanoamericana,Cancion de tumba,'8439725604'
SPANISH,460,Literatura Hispanoamericana,Distancia de rescate,'8439729480'
SPANISH,460,Literatura Hispanoamericana,Las aventuras de la China Iron,'8439736266'
ITALIAN,204,Fourth Semester Italian,Io non ho paura,'8806207695'
ASIALANG,105,First Semester Korean,New Sogang Korean 1A (Student book),'8976995724'
ASIALANG,205,Third Semester Korean,New Sogang Korean 2A: Student Book,'8992491263'
ASIALANG,205,Third Semester Korean,New Sogang Korean 2A: Workbook,'8992491301'
ASIALANG,305,Fifth Semester Korean,New Sogang Korean 3A workbook,'8992491433'
GERMAN,245,Topics-Dutch Life & Culture,A short history of the Netherlands: from prehistory to the present; seventh complete revised edition,'9061094402'
THEATRE,464,Costume Technology Topics,Flyin' West,'9480822214656'
CNSR SCI,555,Cons Strategy & Evl,Creative Confidence: Unleashing the Creative Potential within Us All,'9780008139384'
C&E SOC,475,Classical Soc Theory,The Elementary Forms of Religious Life,'9780029079379'
NURSING,434,Hlth & Ill Indiv Fam Cmty,Gerontological Nursing,'9780060000387'
L I S,622,Childrens Literature,Cover to Cover,'9780060777562'
AFROAMER,222,Intro-Black Women Writers,Their Eyes Were Watching God,'9780060838676'
ENGL,350,Topics in Gender & Literature,Radioactive,'9780061351327'
PSYCH,601,Current Topics - Psychology,"Some We Love, Some We Hate, Some We Eat",'9780061730856'
M H R,739,Enterprise Fellowship Seminar,Creativity Rules,'9780062301314'
HISTORY,577,Contemp Scand:Politics&Hist,The Nordic Theory of Everything: In Search of a Better Life,'9780062316554'
CNSR SCI,635,Estate Plng for Fincl Planners,BEYOND THE GRAVE: THE RIGHT WAY AND THE WRONG WAY OF LEAVING MONEY TO YOUR CHILDREN (AND OTHERS),'9780062336224'
PHM SCI,759,Trends in Drug Disc/Dev,Bottle of Lies: The Inside Story of the Generic Drug Boom,'9780062338785'
MUSIC,253,Conducting,The Art of Conducting,'9780070313262'
MATH,521,Analysis I,Principles of Mathematical Analysis,'9780070542358'
E P D,613,Intl Engr Strategies&Operatns,Cultures and Organizations,'9780071664189'
GEN BUS,320,Intercultural Communctn in Bus,Riding the Waves of Culture: Understanding Diversity in Global Business,'9780071773089'
NURSING,728,APN Clin Appl & Role Dev I,"Principles and Practice of Hospital Medicine, 2nd ED",'9780071843133'
ENVIR ST,809,Intro-Energy Analysis & Policy,INTRO.TO ENGINEERING & ENVIRONMENT,'9780072354676'
CBE,326,Momentum&Heat Transfer Oper,Unit Operations of Chemical Engineering,'9780072848236'
CBE,250,Process Synthesis,"Introduction to Chemical Processes:  Principles, Analysis, Synthesis",'9780072849608'
MUS PERF,143,Intro to Performance: Voice,Adventures in Singing,'9780072977592'
SOC,496,Topics in Sociology,"Identities and Inequalities: Exploring the Intersections of Race, Class, Gender, and Sexuality",'9780073380100'
CIV ENGR,723,Energy Principles of Env Eng,Introduction to Thermodynamics and Heat Transfer,'9780073380179'
E M A,201,Statics,Engineering Mechanics: Statics,'9780073380292'
SPANISH,224,Intro-Hispanic Literatures,Aproximaciones al estudio de la literatura hispanica,'9780073385372'
I SY E,313,Engineerng Economc Analysis,Engineering Economy,'9780073523439'
E P D,518,Quality Engr & Quality Mgmnt,Kaizen,'9780075543329'
E M A,202,Dynamics,Dynamics,'9780077891145'
REAL EST,420,Urban & Regional Economics,URBAN ECONOMICS,'9780078021787'
RP & SE,660,Special Topics,Applied Sport Psychology,'9780078022708'
FINANCE,330,Derivative Securities,Derivatives: Principles and Practice,'9780078034732'
ZOOLOGY,603,Endocrinology,Hormones,'9780080919065'
CBE,450,Process Design,"Chemical Engineering Design, Principles, Practice and Economics of Plant and Process Design",'9780080966601'
CHEM,636,Topics-Chem Instrumentatn: NMR,High Resolution NMR Spectroscopy in Organic Chemistry,'9780080999869'
MATH,570,Fundamentals of Set Theory,Elements of set theory,'9780122384400'
PHYSICS,109,Physics in the Arts,Physics in the Arts,'9780123918789'
SOC WORK,835,Adv Soc Work Pract-Mental Hlth,Treatment lanning for Person-Centered Care: Shared Decision Making for Whole Health,'9780123944481'
FOOD SCI,440,Principles of Food Engr,Introduction to Food Engineering,'9780123985309'
COMP SCI,552,Intro-Computer Architecture,Computer Organization and Design: The Hardware and Software Interface,'9780124077263'
SOIL SCI,321,Soils and Environmental Chem,Soil & Environmental Chemistry,'9780128041789'
CIV ENGR,494,Civ&Envr Engr Decisn Making,Civil and Environmental Systems Engineering,'9780130478221'
COMP SCI,537,Intro to Operating Systems,The C Programming Language,'9780131103627'
CIV ENGR,576,Advanced Pavement Design,Pavement Analysis and Design,'9780131424739'
E C E,431,Digital Signal Processing,Discrete-Time Signal Processing,'9780131988422'
SLAVIC,203,Third Semester Russian,V PUTI& STUDT ACTIV MANL&REF GRAMR&OXFD DIC,'9780132231299'
MATH,340,Elem Matrix&Linear Algebra,Elementary Linear Algebra with Applications,'9780132296540'
ESL,345,American English Pronunciation,Focus on Pronunciation 3,'9780132315005'
E C E,447,Applied Communications Sys,Microwave Transistor Amplifiers: Analysis and Design,'9780132543354'
CS&D,708,Fluency&Phonological Disorders,Children's Speech: An evidence-based approach to assessment and intervention,'9780132756198'
DS,222,Interior Design I,Beginnings of Interior Environments,'9780132786003'
E C E,220,Electrodynamics I,Fundamentals of Applied Electromagnetics,'9780133356816'
ECON,400,Intro Applied Econometrics,Introduction to Econometrics,'9780133486872'
FOOD SCI,437,Food Service Operations,Foodservice Management: principles and practices,'9780133762754'
ECON,301,Intmed Microeconomic Theory,Microeconomics (My Lab Economics with Pearson eText/Access Card Package),'9780134143071'
ACCT I S,770,Smr:Financial Reporting Theory,Financial Accounting Theory,'9780134166681'
CS&D,315,Phonetics and Phon. Dvlpt.,Articulation and Phonological Disorders: Speech Sound Disorders in Children,'9780134170718'
ESL,343,Oral Communication Skills,Contemporary Topics 3,'9780134400792'
HDFS,501,Special Topics,Infant and Toddler Development and Responsive Program Planning:  A Relationship-Based Approach,'9780134450094'
RP & SE,820,Clin Rehab Cnslg-Cnslg Theory,"Theories of Counseling and Psychotherapy: Systems, Strategies, and Skills",'9780134460864'
MATH,320,Linear Alg & Diff Equations,Differential Equations and Linear Algebra,'9780134497181'
PUB AFFR,880,Microecon Policy Analysis,Microeconomics,'9780134519531'
SOC WORK,605,The Field of Social Work,"The Social Work Experience, 7th Edition",'9780134544953'
ECON,301,Intmed Microeconomic Theory,Microeconomics (Student Value Edition plus My Lab Economics with Pearson eText/Access Card Package),'9780134643175'
ECON,301,Intmed Microeconomic Theory,Microeconomics (Hardcover with My Lab Economics with Pearson eText/Access Card Package),'9780134674551'
M E,446,Automatic Controls,Feedback Control of Dynamic Systems,'9780134685717'
PSYCH,456,Intro-Social Psychology,Social Psychology 10th Edition,'9780134700656'
A A E,421,Economic Decision Analysis,Introduction to Management Science,'9780134730660'
ECON,330,Money and Banking,"The Economics of Money, Banking, and Financial Markets",'9780134733821'
RP & SE,920,Reh Coun Ed-Cnslg Supervision,Fundamentals of Clinical Supervision,'9780134790282'
CS&D,110,Intro to Communicative Dis,Introduction to Communication Disorders: A Lifespan Evidence-Based Perspective (6th edition),'9780134801476'
FINANCE,325,Corporation Finance,Corporate Finance,'9780135161081'
PUB AFFR,818,Intro Stat Meths-Pub Pol Anal,Stats: Data and Models,'9780135163825'
ECON,442,Macroeconomic Policy,"Macroeconomics (Subscription),",'9780135179222'
RP & SE,730,Professional Counseling Orient,"Ethical, Legal, and Professional Issues in Counseling, 6th edition",'9780135183816'
CS&D,315,Phonetics and Phon. Dvlpt.,Fundamentals of Phonetics: A Practical Guide for Students,'9780135207871'
ASTRON,200,The Physical Universe,"The Cosmic Perspective, 9th edition",'9780135729458'
CBE,311,Thermodynamics of Mixtures,Introductory Chemical Engineering Thermodynamics,'9780136068549'
CIV ENGR,395,Matrls-Constructed Facilities,Materials for Civil and Construction Engineers,'9780136110583'
RP & SE,820,Clin Rehab Cnslg-Cnslg Theory,"Theories of Counseling and Psychotherapy: Systems, Strategies, and Skills",'9780136874874'
E C E,330,Signals and Systems,Signals and Systems,'9780138147570'
ENGL,822,Topics in Theory,Collected Fictions,'9780140286809'
ENGL,242,Literature and Culture II,Disgrace,'9780140296402'
AFROAMER,222,Intro-Black Women Writers,"Incidents in the Life of A Slave Girl, Written By Herself",'9780140437959'
CLASSICS,100,Legacy of Greece & Rome,The Swaggering Soldier,'9780140441499'
CLASSICS,100,Legacy of Greece & Rome,Phormio,'9780140443240'
CLASSICS,100,Legacy of Greece & Rome,Agamemnon,'9780140443332'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Pierre and Jean,'9780140443585'
CLASSICS,100,Legacy of Greece & Rome,Antigone,'9780140444254'
FRENCH,804,Interdis W Europ Studies Sm,"Capital: A Critique of Political Economy, vol. 1",'9780140445688'
CLASSICS,100,Legacy of Greece & Rome,Bacchae,'9780140447262'
LITTRANS,220,Chekhov in Translation,Anton Chekhov: Plays,'9780140447330'
CLASSICS,834,Roman Political Thought,"Sallust: Catiline's War, the Jugurthine War...",'9780140449488'
CLASSICS,100,Legacy of Greece & Rome,Knights,'9780140449518'
CLASSICS,100,Legacy of Greece & Rome,Electra,'9780140449785'
CLASSICS,100,Legacy of Greece & Rome,The Brothers Menaechmus,'9780140449822'
CLASSICS,100,Legacy of Greece & Rome,Suppliants,'9780140449990'
ILS,371,Interdis in Arts & Humanities,Annals (Penguin Classics),'9780140455649'
LITTRANS,235,The World of Sagas,Historical Atlas of the Vikings,'9780140513288'
CLASSICS,100,Legacy of Greece & Rome,Comedy of Errors,'9780140714746'
PHILOS,440,Existentialism,The Fall,'9780141187945'
ENGL,178,"Digital Media, Lit, Culture",Frankenstein,'9780141439471'
SLAVIC,245,Topics-Slavic Literatures,Homo zapiens,'9780142001813'
AFROAMER,222,Intro-Black Women Writers,Passing,'9780142437278'
LITTRANS,201,19&20th C Russn Lit Tran I,Anna Karenina,'9780143035008'
HISTORY,600,Advanced Seminar in History,They Would Never Hurt a Fly: War Criminals on Trial in the Hague,'9780143035428'
M H R,628,Negotiations,Bargaining for Advantage,'9780143036975'
M H R,628,Negotiations,Beyond Reason: Using Emotions as You Negotiate,'9780143037781'
ENGL,176,Topics in Literature and Film,The Haunting of Hill House,'9780143039983'
LITTRANS,201,19&20th C Russn Lit Tran I,Crime and Punishment,'9780143107637'
LSC,100,Science and Storytelling,The Poison Squad,'9780143111122'
M H R,628,Negotiations,Getting to Yes: Negotiating Agreement Without Giving In,'9780143118756'
REAL EST,720,Urban Economics,Triumph of the City,'9780143120544'
AMER IND,437,American Indian Women,Holding Our World Together: Ojibwe Women and the Survival of Community,'9780143121596'
ENGL,814,Topics in Contemporary Lit,A Tale for the Time Being,'9780143124870'
ECON,460,Economic Forecasting,The Signal and the Noise,'9780143125082'
COMP LIT,203,Intro Cross-Cultrl Lit Form,Frankenstein in Baghdad: A Novel,'9780143128793'
CHICLA,330,Topics in Chicano/a Studies,The Flower in the Skull,'9780156006347'
ENGL,242,Literature and Culture II,To the Lighthouse,'9780156907392'
AFROAMER,712,Educ and Civil Rights Movement,"We Are an African People: Independent Education, Black Power, and the  Radical Imagination",'9780190055530'
PHILOS,241,Introductory Ethics,A Concise Introduction to Ethics,'9780190058173'
PHILOS,241,Introductory Ethics,The Ethical Life,'9780190058241'
HISTORY,139,Middle East-20th Century,The Modern Middle East.,'9780190218867'
ENVIR ST,120,Intro Earth System,Physical Geography,'9780190246860'
SOC WORK,800,Field Prac/Integrat Smr III,School Social Work National Perspectives on Practice in Schools,'9780190273842'
NURSING,741,Adv Prac Nrsg Thry-Famly&Child,Exploring Family Theories,'9780190297268'
POLI SCI,411,The American Constitution I,"American Constitutionalism, Second Ed.: vol. I",'9780190299477'
CBE,255,Intro to Chem Process Modeling,Getting Started with MATLAB: A Quick Introduction for Scientists and Engineers,'9780190602062'
PUBLHLTH,780,Evidence-Based Decision-Making,Evidence-based Public Health,'9780190620936'
L I S,619,Music Resrch Mthds & Matls,Music Research,'9780190644505'
SOC WORK,800,Field Prac/Integrat Smr III,Just Practice,'9780190657079'
MUSIC,751,Seminar in Piano Pedagogy,Teaching Piano Pedagogy: A Guidebook for Training Effective Teachers,'9780190670535'
PHILOS,101,Introduction to Philosophy,Exploring Philosophy: An Introductory Anthology,'9780190674335'
SPANISH,802,Smr-Spanish American Lit,Gender and Rock,'9780190688660'
E C E,340,Electronic Circuits I,Microelectronic Circuits,'9780190853532'
CBE,470,Process Dynamics & Control,"PROCESS DYNAMICS, MODELING & CONTROL",'9780195091199'
LEGAL ST,645,Intellectual Freedom,Copyright's Paradox,'9780195137620'
CLASSICS,110,The Ancient Mediterranean,The Ancient Mediterranean World,'9780195155631'
CLASSICS,100,Legacy of Greece & Rome,Trojan Women,'9780195179101'
E C E,536,Integrated Optics&Optoelect,Photonics,'9780195179460'
AFROAMER,712,Educ and Civil Rights Movement,Silent Covenants: Brown v. Board of Education and the Unfulfilled Hopes of Racial Reform,'9780195182477'
ELPA,863,Race Class & Ed Inequality,Despite the Best Intentions: How Racial Inequality Thrives in Good Schools,'9780195342727'
CSCS,775,Building Civil Society,The Oxford Handbook of Civil Society,'9780195398571'
F&W ECOL,110,Living with Wildlife,A Sand County Almanac and Sketches Here and There,'9780197500262'
BIOCORE,485,Principles of Physiology,e-Textbook Bundle,'9780197556016'
STAT,609,Mathematical Statistics I,Probability and Random Processes,'9780198572220'
SOC,674,Demographic Techniques I,Demographic Methods and Concepts,'9780198752639'
ENGL,414,Global Spread of English,Decolonization: A Very Short Introduction,'9780199340491'
CHEM,714,Organometal-Transitn Elemts,Organometallic Chemistry,'9780199342679'
SOC WORK,646,Child Abuse and Neglect,Broken Three Times:  a story of child abuse in America,'9780199399154'
HISTORY,130,Intro to World History,Islamic History: A Very Short Introduction,'9780199545728'
PHYSICS,406,Special Topics in Physics,"Relativity, Gravitation and Cosmology: A Basic Introduction",'9780199573646'
B M I,541,Intro to Biostatistics,An Introduction to Medical Statistics,'9780199589920'
MUSIC,623,Form and Analysis,Comedy: A Very Short Introduction,'9780199601714'
CLASSICS,100,Legacy of Greece & Rome,Medea,'9780199602087'
ENGL,350,Topics in Gender & Literature,A Case of Hysteria (Dora),'9780199639861'
BOTANY,265,Rainforests and Coral Reefs,Coral Reefs:  A Very Short Introduction,'9780199682775'
CLASSICS,100,Legacy of Greece & Rome,Lysistrata,'9780199797448'
AFRICAN,204,Intro Topics African Languages,Articulate While Black: Barack Obama Language and Race in the US,'9780199812981'
ASIAN,456,"Japan, US-Crisis in Asia","A Modern History of Japan from Tokugawa Times to the Present (Oxford, 2003)",'9780199930159'
MUSIC,413,Survey Music-Baroque Era,Music of the Baroque,'9780199942015'
HISTORY,201,The Historian's Craft,The Witchcraft Sourcebook,'9780203455548'
SOC WORK,921,Child Welfare,Child Welfare and Family Services: Policies and Practice (8th Edition),'9780205571901'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",Nicomachean Ethics,'9780226026756'
ENVIR ST,328,Environmental History: Europe,"The Light-Green Society: Ecology and Technological Modernity in France, 1960-2000.",'9780226044187'
ELPA,911,Authentic Pedagogy and Achieve,Producing Success: The Culture of Personal Advancement in an American High School.,'9780226142418'
LITTRANS,260,Italy & Invention of America,Marvelous Possessions: The Wonder of the New World,'9780226306520'
ENGL,800,Critical Methods in Lit,Antigone,'9780226311517'
ELPA,887,Diversity and Inequality,"The Diversity Bargain: And Other Dilemmas of Race, Admissions, and Meritocracy at Elite Universities",'9780226400143'
L I S,619,Music Resrch Mthds & Matls,A Manual for Writers,'9780226430577'
HIST SCI,720,Historiography & Methods,"The Structure of Scientific Revolutions, 4th edition",'9780226458120'
AFRICAN,700,Reading&Writing Afri Cultr Std,Writing Your Journal Article in Twelve Weeks,'9780226499918'
LAW,940,Law & Contemporary Problems,Inside the presidential debates : their improbable past and promising future,'9780226530413'
ELPA,961,Critical Issues in Ed Policy,Suddenly Diverse How School Districts Manage Race,'9780226675367'
POLI SCI,511,Campaign Finance,The Fallacy of Campaign Finance Reform,'9780226734507'
ENGL,800,Critical Methods in Lit,Antigone's Claim,'9780231118958'
ART HIST,500,Prosem:Spec Topics-Art Hist,Rasa: Performing the Divine in India,'9780231131452'
ASIALANG,355,First Semester Asian Language,"A Primer for Advanced Beginners of Chinese, Simplified Character Version, Volume One",'9780231135672'
ASIAN AM,240,Topics-Asian Amer Studies,Chop Suey USA  The Story of Chinese Food in America,'9780231168922'
AFROAMER,712,Educ and Civil Rights Movement,The Freedom Schools: Student Activists in the Mississippi Civil Rights Movement,'9780231175692'
ENGL,822,Topics in Theory,Media U.: How the Need to Win Audiences Has Shaped Higher Ed,'9780231186377'
LSC,450,Photography for the Sciences,The Photographer's Eye - Composition and Design for Better Digital Photos,'9780240809342'
COMP SCI,577,Introduction to Algorithms,Introduction to Algorithms,'9780262033848'
HIST SCI,720,Historiography & Methods,Fascist Pigs: Technoscientific Organisms and the History of Fascism,'9780262536158'
HISTORY,861,Seminar-History of Africa,Transient Workspaces: Technologies of Everyday Innovation in Zimbabwe,'9780262537582'
ENGL,156,Literature and Medicine,The Bad Doctor: The Troubled Life and Times of Dr. Iwan James,'9780271067544'
HISTORY,200,Historical Studies,Latinos and American Law: Landmark Supreme Court Cases,'9780292714113'
CHICLA,330,Topics in Chicano/a Studies,"Forgetting the Alamo, Or, Blood Memory",'9780292721289'
ENVIR ST,328,Environmental History: Europe,"The Rhine: An Eco-Biography, 1815-2000. University",'9780295985008'
ASIAN AM,150,Lit & Culture of Asian America,America Is in the Heart,'9780295993539'
ASIAN AM,150,Lit & Culture of Asian America,Citizen 13660,'9780295993546'
BOTANY,455,The Vegetation of Wisconsin,Vegetation of Wisconsin,'9780299019402'
FOLKLORE,200,Folklore Cent East North Eur,The Vampire: A Casebook,'9780299159245'
GEN&WS,320,"Topics-Gender, Women & Society",Women and Gender in Islam,'9780300055832'
ASIALANG,239,Third Semester Urdu,Let's Study Urdu: An Introductory Course,'9780300114003'
ASIALANG,139,First Semester Urdu,Let's Study Urdu: An Introduction to the Script,'9780300120608'
ITALIAN,311,Advanced Italian Language,Trame: a contemporary Italian reader,'9780300124958'
GERMAN,337,Adv Compositn & Conversatn,"?	Schreiben lernen: A Writing Guide for Learners of German.",'9780300166033'
POLI SCI,511,Campaign Finance,Plutocrats United,'9780300212457'
A A E,246,Climate Change Econ & Policy,Climate Casino,'9780300212648'
SPANISH,320,Spanish Phonetics,Sonidos en contexto,'9780300214437'
HISTORY,861,Seminar-History of Africa,"Collecting Food, Cultivating People: Subsistence and Society in Central Africa",'9780300218534'
POLI SCI,460,Topics in Political Philos,Liberty in the Things of God: The Christian Origins of Religious Freedom,'9780300226638'
LITTRANS,209,Masterpieces-Fr Lit & Culture,Exile and the Kingdom,'9780307278586'
AFROAMER,628,Hist-Civ Rghts Movmnt in US,At the Dark End of the Street,'9780307389244'
ENGL,814,Topics in Contemporary Lit,Zone One,'9780307455178'
ASIAN,274,Religion in South Asia,Nine Lives: In Search of the Sacred in Modern India,'9780307593597'
CHICLA,330,Topics in Chicano/a Studies,The Buddha in the Attic,'9780307744425'
CURRIC,704,Curriculum Planning,Discipline and punish: The birth of the prison,'9780307819291'
ENGL,156,Literature and Medicine,The Death of Ivan Ilych,'9780307951335'
ENGL,156,Literature and Medicine,Illness as Metaphor; AIDS and its Metaphors,'9780312420130'
AFROAMER,154,Hip-Hop and Cont Am Society,Can't Stop Won't Stop: A History of the Hip-hop Generation,'9780312425791'
LAW,802,Civil Procedure II,CIVIL PROCEDURE CASES AND MATERIALS,'9780314280169'
LAW,723,Legal Research and Writing,"Impeccable Research, A Concise Guide to Mastering Legal Research Skills",'9780314282385'
ENGL,400,Advanced Composition,Writing Tools: 55 Essential Strategies,'9780316014991'
AFRICAN,203,Intro Topics in African Lit,Say You're One of Them,'9780316086363'
ENGL,814,Topics in Contemporary Lit,How Long 'Til Black Future Month?,'9780316491372'
COM ARTS,466,Writing for TV & Film,The Complete Screenwriter?s Manual: A Complete Reference of Format & Style,'9780321397935'
MATH,322,Appl Mathematical Analysis,Applied Partial Differential Equations with Fourier Series and Boundary Value Problems,'9780321797056'
L I S,751,Database Dsgn-Info Prof,Database Design for Mere Mortals: A hands-On Guide to Relational Database Design,'9780321884497'
NURSING,434,Hlth & Ill Indiv Fam Cmty,Public Health Nursing,'9780323321532'
NURSING,434,Hlth & Ill Indiv Fam Cmty,Medical-Surgical Nursing,'9780323328524'
NURSING,434,Hlth & Ill Indiv Fam Cmty,Concepts for Nursing Practice,'9780323374736'
COMP BIO,500,Fund Principles-Vet Anatomy,Guide to the Dissection of the Dog,'9780323391658'
PHY THER,676,Musculoskeletal Dysfunction I,Clinical Orthopedic Rehabilitation,'9780323393706'
NURSING,317,Pharmacology for Nrsg Practice,"Calculate with Confidence, 7th Edition",'9780323396837'
NURSING,317,Pharmacology for Nrsg Practice,Pharmacology and the Nursing Process,'9780323529495'
NURSING,434,Hlth & Ill Indiv Fam Cmty,Maternal Child Nursing Care,'9780323549387'
PATH-BIO,510,Veterinary Immunology,Basic Immunology,'9780323549431'
NURSING,323,Hlth & Ill Indiv Fam,Lewis's Medical Surgical Nursing,'9780323551496'
NURSING,726,Foundations APN Clin Pract I,Primary Care:  Interprofessional Collaborative Practice,'9780323570152'
NURSING,314,Hlth Promo Dz Prev Acrs Lfspn,Concepts for Nursing Practice,'9780323581936'
PHY THER,635,Motor Control Dysfunction I,"UMPHRED?S NEUROLOGICAL REHABILITATION, SEVENTH EDITION                ISBN: 978-0-323-61117-6",'9780323611176'
PHY THER,664,Clinical Medicine I,Primary Care for the Physical Therapist,'9780323638975'
CURRIC,311,Language Acquisition and Use,Between worlds: Access to second language acquisition,'9780325030883'
ELPA,911,Authentic Pedagogy and Achieve,Not this but that: No more teaching without positive relationships,'9780325118'
